run_id,started_utc,git_commit,guest,status,duration_seconds,success_marker,summary_path
"phase1-20260717T185500Z-330b9ce2d52b","2026-07-17T19:06:05Z","330b9ce2d52bd1269766bfc63201d23bf88c140f","arceos","setup_failed","125","Hello, world!","results/baseline/runs/phase1-20260717T185500Z-330b9ce2d52b/arceos/status.json"
"phase1-20260717T185500Z-330b9ce2d52b","2026-07-17T19:08:10Z","330b9ce2d52bd1269766bfc63201d23bf88c140f","linux","setup_failed","126","test pass!","results/baseline/runs/phase1-20260717T185500Z-330b9ce2d52b/linux/status.json"
"phase1-20260717T191300Z-330b9ce2d52b","2026-07-17T19:17:40Z","330b9ce2d52bd1269766bfc63201d23bf88c140f","arceos","setup_failed","154","Hello, world!","results/baseline/runs/phase1-20260717T191300Z-330b9ce2d52b/arceos/status.json"
"phase1-20260717T191300Z-330b9ce2d52b","2026-07-17T19:20:14Z","330b9ce2d52bd1269766bfc63201d23bf88c140f","linux","setup_failed","152","test pass!","results/baseline/runs/phase1-20260717T191300Z-330b9ce2d52b/linux/status.json"
"phase1-20260717T192400Z-330b9ce2d52b","2026-07-17T19:23:46Z","330b9ce2d52bd1269766bfc63201d23bf88c140f","arceos","marker_missing","493","Hello, world!","results/baseline/runs/phase1-20260717T192400Z-330b9ce2d52b/arceos/status.json"
"phase1-20260717T192400Z-330b9ce2d52b","2026-07-17T19:31:59Z","330b9ce2d52bd1269766bfc63201d23bf88c140f","linux","marker_missing","392","test pass!","results/baseline/runs/phase1-20260717T192400Z-330b9ce2d52b/linux/status.json"
"phase1-20260717T194500Z-330b9ce2d52b","2026-07-17T19:43:45Z","330b9ce2d52bd1269766bfc63201d23bf88c140f","arceos","marker_missing","534","Hello, world!","results/baseline/runs/phase1-20260717T194500Z-330b9ce2d52b/arceos/status.json"
"phase1-20260717T194500Z-330b9ce2d52b","2026-07-17T19:52:39Z","330b9ce2d52bd1269766bfc63201d23bf88c140f","linux","marker_missing","376","test pass!","results/baseline/runs/phase1-20260717T194500Z-330b9ce2d52b/linux/status.json"
"phase1-20260717T200000Z-330b9ce2d52b","2026-07-17T20:01:10Z","330b9ce2d52bd1269766bfc63201d23bf88c140f","arceos","passed","520","Hello, world!","results/baseline/runs/phase1-20260717T200000Z-330b9ce2d52b/arceos/status.json"
"phase1-20260717T200000Z-330b9ce2d52b","2026-07-17T20:09:51Z","330b9ce2d52bd1269766bfc63201d23bf88c140f","linux","marker_missing","733","test pass!","results/baseline/runs/phase1-20260717T200000Z-330b9ce2d52b/linux/status.json"
