*** Booting Zephyr OS build v4.4.0 ***
AXVISOR_DUAL_GUEST_ZEPHYR_READY vm=2 boot_id=dual-20260814T043015Z-ac2efac0071f6973
TGOS_ZEPHYR_DUAL_HEALTH seq=1 uptime_ms=160 delta_ms=140
TGOS_ZEPHYR_DUAL_HEALTH seq=2 uptime_ms=290 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=3 uptime_ms=420 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=4 uptime_ms=550 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=5 uptime_ms=680 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=6 uptime_ms=810 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=7 uptime_ms=940 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=8 uptime_ms=1070 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=9 uptime_ms=1200 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=10 uptime_ms=1330 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=11 uptime_ms=1450 delta_ms=120
TGOS_ZEPHYR_DUAL_HEALTH seq=12 uptime_ms=1580 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=13 uptime_ms=1710 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=14 uptime_ms=1840 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=15 uptime_ms=1970 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=16 uptime_ms=2100 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=17 uptime_ms=2230 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=18 uptime_ms=2370 delta_ms=140
TGOS_ZEPHYR_DUAL_HEALTH seq=19 uptime_ms=2500 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=20 uptime_ms=2630 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=21 uptime_ms=2760 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=22 uptime_ms=2890 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=23 uptime_ms=3020 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=24 uptime_ms=3150 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=25 uptime_ms=3280 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=26 uptime_ms=3410 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=27 uptime_ms=3540 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=28 uptime_ms=3670 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=29 uptime_ms=3800 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=30 uptime_ms=3930 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=31 uptime_ms=4060 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=32 uptime_ms=4190 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=33 uptime_ms=4320 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=34 uptime_ms=4450 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=35 uptime_ms=4580 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=36 uptime_ms=4710 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=37 uptime_ms=4820 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=38 uptime_ms=4950 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=39 uptime_ms=5080 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=40 uptime_ms=5210 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=41 uptime_ms=5340 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=42 uptime_ms=5470 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=43 uptime_ms=5600 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=44 uptime_ms=5730 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=45 uptime_ms=5840 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=46 uptime_ms=5960 delta_ms=120
TGOS_ZEPHYR_DUAL_HEALTH seq=47 uptime_ms=6090 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=48 uptime_ms=6210 delta_ms=120
TGOS_ZEPHYR_DUAL_HEALTH seq=49 uptime_ms=6320 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=50 uptime_ms=6450 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=51 uptime_ms=6580 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=52 uptime_ms=6710 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=53 uptime_ms=6830 delta_ms=120
TGOS_ZEPHYR_DUAL_HEALTH seq=54 uptime_ms=6940 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=55 uptime_ms=7050 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=56 uptime_ms=7160 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=57 uptime_ms=7270 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=58 uptime_ms=7380 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=59 uptime_ms=7500 delta_ms=120
TGOS_ZEPHYR_DUAL_HEALTH seq=60 uptime_ms=7610 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=61 uptime_ms=7720 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=62 uptime_ms=7830 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=63 uptime_ms=7940 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=64 uptime_ms=8050 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=65 uptime_ms=8160 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=66 uptime_ms=8270 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=67 uptime_ms=8380 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=68 uptime_ms=8510 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=69 uptime_ms=8620 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=70 uptime_ms=8740 delta_ms=120
TGOS_ZEPHYR_DUAL_HEALTH seq=71 uptime_ms=8850 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=72 uptime_ms=8960 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=73 uptime_ms=9070 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=74 uptime_ms=9180 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=75 uptime_ms=9290 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=76 uptime_ms=9400 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=77 uptime_ms=9520 delta_ms=120
TGOS_ZEPHYR_DUAL_HEALTH seq=78 uptime_ms=9640 delta_ms=120
TGOS_ZEPHYR_DUAL_HEALTH seq=79 uptime_ms=9750 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=80 uptime_ms=9860 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=81 uptime_ms=9970 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=82 uptime_ms=10080 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=83 uptime_ms=10190 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=84 uptime_ms=10300 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=85 uptime_ms=10410 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=86 uptime_ms=10520 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=87 uptime_ms=10650 delta_ms=130
TGOS_ZEPHYR_DUAL_HEALTH seq=88 uptime_ms=10760 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=89 uptime_ms=10880 delta_ms=120
TGOS_ZEPHYR_DUAL_HEALTH seq=90 uptime_ms=10990 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=91 uptime_ms=11100 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=92 uptime_ms=11210 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=93 uptime_ms=11320 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=94 uptime_ms=11430 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=95 uptime_ms=11540 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=96 uptime_ms=11650 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=97 uptime_ms=11760 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=98 uptime_ms=11870 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=99 uptime_ms=11980 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=100 uptime_ms=12090 delta_ms=110
TGOS_ZEPHYR_DUAL_HEALTH seq=101 uptime_ms=12210 delta_ms=120
TGOS_ZEPHYR_DUAL_HEALTH seq=102 uptime_ms=12330 delta_ms=120
